ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1031,417,40.0,MCHENRY 01,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1031,210,20.0,MCHENRY 01,2016_General Election
14TH CONGRESS,Blank Ballots,,1031,37,4.0,MCHENRY 01,2016_General Election
14TH CONGRESS,Over Votes,,1031,1,0.0,MCHENRY 01,2016_General Election
14TH CONGRESS,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1031,530,51.0,MCHENRY 01,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1031,135,13.0,MCHENRY 01,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1031,480,47.0,MCHENRY 01,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1031,157,15.0,MCHENRY 01,2016_General Election
32ND SENATE,Blank Ballots,,1031,28,3.0,MCHENRY 01,2016_General Election
32ND SENATE,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
32ND SENATE,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1031,409,40.0,MCHENRY 01,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,1031,226,22.0,MCHENRY 01,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,1031,30,3.0,MCHENRY 01,2016_General Election
63RD REPRESENTATIVE,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
63RD REPRESENTATIVE,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1031,401,39.0,MCHENRY 01,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1031,193,19.0,MCHENRY 01,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1031,33,3.0,MCHENRY 01,2016_General Election
COMPTROLLER,Blank Ballots,,1031,29,3.0,MCHENRY 01,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1031,9,1.0,MCHENRY 01,2016_General Election
COMPTROLLER,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
COMPTROLLER,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1031,505,49.0,MCHENRY 01,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1031,107,10.0,MCHENRY 01,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1031,53,5.0,MCHENRY 01,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1031,392,38.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1031,227,22.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1031,24,2.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1031,13,1.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1031,8,1.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1031,1,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1031,376,36.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1031,228,22.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1031,31,3.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1031,18,2.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1031,12,1.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Under Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Over Votes,,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,1031,0,0.0,MCHENRY 01,2016_General Election
